t_s,v_true_mps,v_raw_mps,v_iqr_mps,v_kalman_mps
5.192,1.79608086861029,1.80733436235564,1.79257489295167,1.79248472830715
5.232,1.79930023465741,1.78020807084282,1.79417136105577,1.79415482385093
5.272,1.80249791527183,1.75600366718956,1.78686216900671,1.78693367249619
5.312,1.80567378421457,1.78645163443116,1.79438141073711,1.79430838667601
5.352,1.80882771610778,1.82190380395887,1.79616801901804,1.7961497855757
5.392,1.81195958643962,1.80931454693692,1.79938043358444,1.79934875751985
5.432,1.81506927156922,1.83983275159836,1.80118384494262,1.80116585215988
5.472,1.81815664873153,1.81659479736897,1.7996894457122,1.79970392167673
5.512,1.82122159604219,1.83650582683649,1.80508183930749,1.80502910955613
5.552,1.82426399250233,1.8143680887822,1.81914709417143,1.81900866925131
5.592,1.82728371800334,1.81306476471087,1.83258101153915,1.83244793656788
5.632,1.83028065333163,1.84764000510861,1.83705842546707,1.8370132202501
5.672,1.83325468017332,1.85602295825571,1.83536965904497,1.83538577393918
5.712,1.83620568111894,1.82204939872751,1.84401963572484,1.84393498188361
5.752,1.83913353966801,1.80733616386077,1.83661981983126,1.83669154400085
5.792,1.84203814023369,1.81958885361722,1.834433108915,1.83445525256404
5.832,1.84491936814733,1.87662879068869,1.83772625310479,1.83769418138911
5.872,1.84777710966298,1.93936195783786,1.84118345732138,1.84114924544516
5.912,1.85061125196189,1.88239318909338,1.84532814486363,1.84528717132286
5.952,1.85342168315699,1.88560774765362,1.84980373377317,1.84975944949227
5.992,1.85620829229727,1.79667217307964,1.86296456522958,1.86283509086471
6.032,1.85897096937215,1.80140719028308,1.86246180161753,1.86246546166786
6.072,1.8617096053159,1.83885495922008,1.85986412319603,1.85988962896615
6.112,1.86442409201183,1.86649279799407,1.86287697426733,1.86284768375272
6.152,1.86711432229668,1.93648886178522,1.87126639912162,1.87118385476177
6.192,1.86978018996476,1.93965961305446,1.87164332019517,1.87163881519905
6.232,1.87242158977216,1.85831151573992,1.86412535542297,1.86419902387479
6.272,1.87503841744096,1.80288294875262,1.86466381405556,1.86465925685101
6.312,1.87763056966328,1.84452683625521,1.87320809275889,1.87312427258484
6.352,1.88019794410538,1.9086916540324,1.86990040547259,1.86993201505141
6.392,1.88274043941172,1.92569740942063,1.86692061355242,1.86695013993478
6.432,1.88525795520894,1.94497022676365,1.86271150354296,1.86275306279663
6.472,1.88775039210982,1.81615906701336,1.86593071836456,1.86589956188365
6.512,1.89021765171723,1.88815888638385,1.87359733452548,1.87352185891107
6.552,1.89265963662797,1.87860973230029,1.87075773834792,1.87078484017432
6.592,1.89507625043667,1.95186230804381,1.87526447140572,1.8752205492304
6.632,1.89746739773955,1.84749140484171,1.87962215331105,1.87957899618134
6.672,1.8998329841382,1.78984917303527,1.88929692055718,1.88920163762961
6.712,1.90217291624334,1.88154097231433,1.89480877436336,1.89475379714986
6.752,1.90448710167844,1.84589208803854,1.89529951287691,1.89529416220838
6.792,1.90677544908343,1.84176544360699,1.89834367919293,1.89831377909341
6.832,1.90903786811827,1.82507218538626,1.89474751300903,1.89478247976323
6.872,1.91127426946653,1.87730589999577,1.89746106084385,1.89743479772045
6.912,1.91348456483891,1.91882066709004,1.90112664705078,1.90109044896992
6.952,1.91566866697674,1.86336786050467,1.90492109547102,1.90488353650277
6.992,1.91782648965541,1.98685338267564,1.91526795734942,1.91516613951455
7.032,1.91995794768777,1.91763049093078,1.92014736929497,1.92009852901406
7.072,1.9220629569275,1.95262858684152,1.92770848366681,1.92763386909584
7.112,1.92414143427245,1.94188162601473,1.9248502058102,1.92487749925034
7.152,1.92619329766789,1.92602784634914,1.93232017447495,1.93224720005604
7.192,1.92821846610977,2.02471812067041,1.92962116143133,1.9296469093831
7.232,1.9302168596479,1.92726471266717,1.92150466943908,1.92158450299497
7.272,1.93218839938913,1.94762274782023,1.93114988639961,1.93105609911553
7.312,1.93413300750044,1.91505869502237,1.9284988499723,1.92852392345255
7.352,1.93605060721205,1.93619850227339,1.92937417526023,1.92936583865682
7.392,1.93794112282038,1.83215827686475,1.92392312302226,1.92397648810924
7.432,1.93980447969113,1.87568338863718,1.92434701046169,1.92434337754039
7.472,1.94164060426216,1.9338017408356,1.92649371348754,1.92647262973587
7.512,1.94344942404641,1.94953696313221,1.92344501714495,1.92347470247487
7.552,1.94523086763478,1.95721097617284,1.93289999407704,1.93280758037404
7.592,1.94698486469891,1.96371226634985,1.93483855839843,1.93481864493496
